date,value,ret_d,ret_m
2002-01-03,99.9731,,
2002-01-06,100.0149,0.00041802508759226323,
2002-01-07,99.8273,-0.0018774818842720836,
2002-01-08,100.0203,0.0019314723819577365,
2002-01-09,99.9317,-0.0008862127490465204,
2002-01-10,100.2721,0.0034005381318677145,
2002-01-13,100.254,-0.00018052512913925252,
2002-01-14,100.2208,-0.0003312137017073589,
2002-01-15,100.3139,0.0009285176748842755,
2002-01-16,100.2619,-0.000518507229336984,
2002-01-17,100.1562,-0.001054795048951027,
2002-01-20,100.4297,0.0027270129106031693,
2002-01-21,100.3827,-0.000468098592100905,
2002-01-22,100.4736,0.0009051247703539379,
2002-01-23,100.5076,0.0003383401066799892,
2002-01-24,100.4743,-0.000331373126681741,
2002-01-27,100.8503,0.0037352657069146377,
2002-01-28,100.7888,-0.0006100007578592371,
2002-01-29,100.6376,-0.0015012930618716195,
2002-01-30,100.7593,0.0012085589680185472,
2002-01-31,100.6838,-0.0007495913589018471,0.007083763099003695
2002-02-03,100.9527,0.002667177414894258,
2002-02-04,100.9271,-0.00025361626212448614,
2002-02-05,100.9512,0.00023875770812895543,
2002-02-06,100.9816,0.0003010902659664037,
2002-02-07,100.9708,-0.00010695589663996775,
2002-02-08,101.0015,0.0003040020857951783,
2002-02-09,101.1863,0.0018280039790792,
2002-02-10,101.1366,-0.0004912938772592738,
2002-02-18,101.0289,-0.001065463792670299,
2002-02-19,101.3553,0.0032255510360358745,
2002-02-20,101.4721,0.0011517182876753732,
2002-02-21,101.1449,-0.0032297416744383996,
2002-02-24,101.2267,0.0008084138728448797,
2002-02-25,101.1913,-0.0003497712689671422,
2002-02-26,101.2809,0.0008850598338820242,
2002-02-27,101.4085,0.0012590694615164447,
2002-02-28,101.4069,-1.5777894578407047e-05,0.007156223279140616
2002-03-03,101.4947,0.000865444190485899,
2002-03-04,101.5735,0.0007760939817780917,
2002-03-05,101.5617,-0.00011617878155298673,
2002-03-06,101.6522,0.0008906871624724792,
2002-03-07,101.5802,-0.0007085484697541557,
2002-03-10,101.7223,0.0013979171248819128,
2002-03-11,101.9166,0.0019082803822108938,
2002-03-12,101.9394,0.00022368730962128036,
2002-03-13,101.9361,-3.237269804662924e-05,
2002-03-14,101.9958,0.0005854895845664365,
2002-03-17,102.0447,0.000479316615438766,
2002-03-18,102.1047,0.0005878048304580757,
2002-03-19,101.9051,-0.001956769367825708,
2002-03-20,102.3164,0.004027984870350422,
2002-03-21,102.4027,0.0008431065309689921,
2002-03-24,102.243,-0.0015607465235590976,
2002-03-25,102.4258,0.001786301073809026,
2002-03-26,102.3885,-0.00036423238428534436,
2002-03-27,102.299,-0.0008745038725257033,
2002-03-28,102.4271,0.0012514282909488722,
2002-03-31,102.5405,0.001106516459873372,0.011116706310314894
2002-04-01,102.5563,0.00015407358897113693,
2002-04-02,102.7651,0.0020338851379192576,
2002-04-03,102.8147,0.0004825376905941814,
2002-04-04,102.746,-0.0006684157288608387,
2002-04-07,103.1649,0.004068755737548477,
2002-04-08,102.9503,-0.002082331410240405,
2002-04-09,103.1576,0.0020115684056912185,
2002-04-10,103.203,0.0004400064812031176,
2002-04-11,103.275,0.0006974108904414893,
2002-04-14,103.2252,-0.00048232399741444997,
2002-04-15,103.2925,0.0006517601385485983,
2002-04-16,103.4443,0.0014685341678973899,
2002-04-17,103.5809,0.0013196463022250547,
2002-04-18,103.6714,0.000873331738678932,
2002-04-21,103.5878,-0.0008067193594676342,
2002-04-22,103.4247,-0.0015757505826747079,
2002-04-23,103.6948,0.0026081576395520505,
2002-04-24,103.6427,-0.0005025622581208136,
2002-04-25,103.6577,0.00014471752129940785,
2002-04-26,103.5622,-0.0009217262122145298,
2002-04-27,103.6132,0.0004923364552952253,
2002-04-28,103.7569,0.0013859280870436785,
2002-04-29,103.629,-0.0012334494892426453,
2002-05-07,103.8402,0.0020359655597526833,
2002-05-08,103.7306,-0.0010560253194128728,
2002-05-09,103.5684,-0.0015648896820601348,
2002-05-12,103.8133,0.002361829552391008,
2002-05-13,103.8152,1.830191905316306e-05,
2002-05-14,103.8593,0.0004247030874071643,
2002-05-15,103.8614,2.0219458148093286e-05,
2002-05-16,103.7704,-0.0008765517211391402,
2002-05-19,104.0601,0.002787850557369457,
2002-05-20,103.9872,-0.0007008022020336957,
2002-05-21,104.1188,0.0012647402529665432,
2002-05-22,104.1492,0.00029193155180729614,
2002-05-23,104.1903,0.00039454832648780775,
2002-05-26,104.3688,0.0017117454341222416,
2002-05-27,104.4243,0.0005316267760492371,
2002-05-28,104.5015,0.0007390183836897377,
2002-05-29,104.6474,0.0013951784940441107,
2002-05-30,104.6787,0.00029905492180157766,
2002-06-02,104.695,0.00015570245960136944,
2002-06-03,104.4421,-0.0024185103768936157,
2002-06-04,104.5487,0.0010201406879611688,
2002-06-05,104.5443,-4.2086535662533843e-05,
2002-06-06,104.2276,-0.0030339355337481444,
2002-06-09,104.518,0.0027823358896350405,
2002-06-10,104.3439,-0.0016671306765222694,
2002-06-11,104.3764,0.0003114215556672243,
2002-06-12,104.4795,0.000987283657052884,
2002-06-13,104.3498,-0.0012421630171333693,
2002-06-16,104.3274,-0.00021468564928064967,
2002-06-17,104.1746,-0.0014656936370345058,
2002-06-18,104.0357,-0.0013342281395819532,
2002-06-19,104.0267,-8.651250784010412e-05,
2002-06-20,104.0356,8.555129886988103e-05,
2002-06-23,103.8191,-0.0020831867481929606,
2002-06-24,103.6592,-0.001541366317900938,
2002-06-25,103.5947,-0.0006224249780809343,
2002-06-26,103.6994,0.0010101590822234,
2002-06-27,103.5987,-0.0009715478137130917,
2002-06-30,103.7874,0.0018197945964145916,-0.00855108270415951
