date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,ret_d,ret_m
2021-03-11,5024.56005859375,5138.41015625,5020.580078125,5128.22021484375,5128.22021484375,189600,0.0,0.0,,
2021-03-12,5153.669921875,5153.669921875,5086.81982421875,5146.3798828125,5146.3798828125,201000,0.0,0.0,0.0035348698159266747,
2021-03-15,5116.1201171875,5120.8798828125,4992.39990234375,5035.5400390625,5035.5400390625,204200,0.0,0.0,-0.02177275469221129,
2021-03-16,5054.41015625,5084.31005859375,5009.9501953125,5079.35986328125,5079.35986328125,161400,0.0,0.0,0.008664465052898862,
2021-03-17,5062.77001953125,5123.5498046875,5020.1298828125,5100.85986328125,5100.85986328125,149200,0.0,0.0,0.004223883676963073,
2021-03-18,5114.58984375,5160.4599609375,5111.1298828125,5141.77001953125,5141.77001953125,142900,0.0,0.0,0.007988255802502198,
2021-03-19,5068.52978515625,5089.919921875,4980.759765625,5007.08984375,5007.08984375,164200,0.0,0.0,-0.02654250514893124,
2021-03-22,5008.39990234375,5071.33984375,4996.5400390625,5057.14990234375,5057.14990234375,167400,0.0,0.0,0.00994818738652338,
2021-03-23,5057.06005859375,5064.02001953125,4966.52978515625,5009.25,5009.25,158000,0.0,0.0,-0.009516860910547664,
2021-03-24,4985.39990234375,5024.330078125,4919.89013671875,4928.68994140625,4928.68994140625,159400,0.0,0.0,-0.016212982516392048,
2021-03-25,4904.06982421875,4950.759765625,4883.66015625,4926.35009765625,4926.35009765625,132900,0.0,0.0,-0.00047485221464186353,
2021-03-26,4953.9501953125,5050.830078125,4953.9501953125,5037.990234375,5037.990234375,145900,0.0,0.0,0.02240887097464417,
2021-03-29,5052.259765625,5086.64990234375,5010.39013671875,5046.8798828125,5046.8798828125,143400,0.0,0.0,0.0017629678194486548,
2021-03-30,5043.10009765625,5106.0400390625,5032.7998046875,5094.72998046875,5094.72998046875,138600,0.0,0.0,0.009436460951587457,
2021-03-31,5085.9501953125,5085.9501953125,5015.60986328125,5048.35986328125,5048.35986328125,141300,0.0,0.0,-0.009143257319662772,-0.01569525132189241
2021-04-01,5059.93994140625,5115.43017578125,5056.8701171875,5110.77978515625,5110.77978515625,120300,0.0,0.0,0.012288581421623703,
2021-04-02,5129.85009765625,5169.830078125,5116.35009765625,5161.56005859375,5161.56005859375,127000,0.0,0.0,0.009886878327317524,
2021-04-06,5178.64013671875,5181.14990234375,5125.330078125,5140.33984375,5140.33984375,109800,0.0,0.0,-0.004119675993142621,
2021-04-07,5141.66015625,5141.66015625,5065.18994140625,5103.740234375,5103.740234375,145800,0.0,0.0,-0.007145544514186123,
2021-04-08,5078.259765625,5129.1298828125,5062.06982421875,5112.2099609375,5112.2099609375,141800,0.0,0.0,0.001658138174353451,
2021-04-09,5100.0400390625,5100.0400390625,5022.08984375,5035.33984375,5035.33984375,128400,0.0,0.0,-0.015150768233845618,
2021-04-12,5026.97998046875,5045.60009765625,4933.009765625,4947.75,4947.75,152600,0.0,0.0,-0.017548092379869155,
2021-04-13,4949.81005859375,4994.5400390625,4924.2001953125,4939.64013671875,4939.64013671875,132900,0.0,0.0,-0.00164044606064688,
2021-04-14,4945.68994140625,4987.1201171875,4940.27001953125,4980.6298828125,4980.6298828125,120900,0.0,0.0,0.008263883802489361,
2021-04-15,4969.91015625,4969.91015625,4900.2998046875,4948.97021484375,4948.97021484375,108800,0.0,0.0,-0.006376847998282193,
2021-04-16,4966.89990234375,4979.169921875,4917.9599609375,4966.18017578125,4966.18017578125,111200,0.0,0.0,0.00347145076827686,
2021-04-19,4966.41015625,5088.2099609375,4940.75,5087.02001953125,5087.02001953125,154800,0.0,0.0,0.024041232961866242,
2021-04-20,5065.77978515625,5119.85986328125,5058.919921875,5083.3701171875,5083.3701171875,136500,0.0,0.0,-0.0007177507354934106,
2021-04-21,5055.240234375,5110.56005859375,5047.990234375,5098.740234375,5098.740234375,124600,0.0,0.0,0.0030190458227670838,
2021-04-22,5114.27978515625,5119.22021484375,5067.14013671875,5089.240234375,5089.240234375,121200,0.0,0.0,-0.0018649432598672453,
2021-04-23,5088.830078125,5149.97998046875,5086.490234375,5135.4501953125,5135.4501953125,122100,0.0,0.0,0.009038958368143363,
2021-04-26,5156.58984375,5181.10986328125,5072.9599609375,5077.240234375,5077.240234375,151400,0.0,0.0,-0.011399658437314815,
2021-04-27,5076.64013671875,5095.97998046875,5042.60986328125,5090.52001953125,5090.52001953125,124000,0.0,0.0,0.002612137260435546,
2021-04-28,5073.97021484375,5119.4501953125,5059.259765625,5119.240234375,5119.240234375,120600,0.0,0.0,0.005626046035315679,
2021-04-29,5128.27978515625,5170.58984375,5113.64990234375,5164.169921875,5164.169921875,140100,0.0,0.0,0.008738341214503065,
2021-04-30,5156.35986328125,5163.25,5094.93017578125,5123.490234375,5123.490234375,160100,0.0,0.0,-0.007908484320998409,0.014772482223445408
2021-05-06,5098.7998046875,5132.89990234375,5037.41015625,5061.1201171875,5061.1201171875,158800,0.0,0.0,-0.012248067375736572,
2021-05-07,5073.4599609375,5093.75,4996.0400390625,4996.0498046875,4996.0498046875,172300,0.0,0.0,-0.012940264708138506,
2021-05-10,5001.43994140625,5019.39013671875,4953.7001953125,4992.419921875,4992.419921875,170800,0.0,0.0,-0.0007268146316027909,
2021-05-11,4956.080078125,5033.490234375,4925.919921875,5023.06005859375,5023.06005859375,151500,0.0,0.0,0.006118574919605247,
2021-05-12,5003.81982421875,5051.169921875,4995.39990234375,5044.5498046875,5044.5498046875,126600,0.0,0.0,0.004269092470485812,
2021-05-13,4992.35009765625,5022.080078125,4975.4501953125,4992.97021484375,4992.97021484375,132300,0.0,0.0,-0.01027744776686702,
2021-05-14,5007.6298828125,5112.97998046875,4981.2900390625,5110.58984375,5110.58984375,159400,0.0,0.0,0.023283860741553707,
