product_name,product_code,currency,asset_class,sub_category,risk_level,return_1y,return_3y,return_5y,volatility_1y,volatility_3y,volatility_5y,max_drawdown_1y,max_drawdown_2y,max_drawdown_3y,sharpe_ratio_1y,sharpe_ratio_3y,sharpe_ratio_5y
中欧医疗健康C,530012,CNY,股票类,行业主题型,R4,31.42,18.06,,16.33,20.33,,-27.97,-40.37,,0.93,0.98,0.43
长信量化先锋B,540006,CNY,股票类,量化多因子,R3,23.59,17.08,16.39,18.7,20.06,17.81,-25.28,-27.17,-27.94,0.47,0.8,0.81
易方达消费精选,530005,CNY,股票类,行业主题型,R4,20.87,21.1,,21.3,28.0,25.33,-24.06,-22.71,-28.84,1.04,0.48,0.72
高毅多策略,900000,CNY,另类,多策略对冲,R3,13.1,11.96,7.33,11.88,12.92,9.62,-5.0,-27.84,-21.35,1.3,0.75,0.7
九坤CTA优选B,880004,CNY,另类,CTA策略,R4,10.4,13.27,9.58,16.38,15.9,,-14.56,-17.91,-26.36,0.72,0.86,0.89
易方达易理财C,000011,CNY,现金类,货币基金,R1,4.5,2.57,3.23,1.15,1.49,1.34,-0.98,-2.07,-1.54,2.0,2.8,
工银纯债,020001,CNY,现金类,纯债型,R2,3.97,2.89,2.45,0.75,1.28,0.96,-1.12,-1.78,-2.39,1.9,2.67,
招商安瑞进取C,020010,CNY,现金类,纯债型,R2,3.56,2.94,2.18,0.88,0.52,1.5,-1.09,-1.41,-1.45,2.27,2.69,1.71
南方短债C,010011,CNY,现金类,短债型,R2,3.24,2.76,2.77,0.22,1.3,0.72,-1.09,0.0,-1.7,1.97,1.95,
国泰黄金ETF,510001,CNY,另类,商品型,R5,3.02,12.79,5.46,10.71,10.86,14.59,-25.0,-8.0,-15.9,0.86,0.74,0.76
零钱通,000001,CNY,现金类,现金类-其他,R1,2.81,3.06,3.02,0.93,1.26,1.05,-1.87,-0.52,-3.66,2.64,2.49,1.57
余额宝B,000004,CNY,现金类,现金类-其他,R1,2.67,2.84,2.86,0.81,0.78,1.35,-0.72,-1.72,-1.3,2.12,2.51,2.01
嘉实超短债B,010004,CNY,现金类,短债型,R2,2.16,2.98,2.1,1.16,0.83,0.58,-1.8,-1.11,-2.53,1.81,1.4,1.89
博时信用债D,110014,CNY,固收+,偏债混合型,R3,10.72,10.8,8.39,8.12,7.03,8.37,-7.82,-9.14,-12.48,1.26,0.86,1.09
汇添富中证800B,510015,CNY,股票类,股票型,R4,34.23,14.33,,17.61,17.89,18.26,-22.98,-27.44,-31.79,0.91,0.65,0.82
华宝科技龙头B,530010,CNY,股票类,行业主题型,R5,32.34,14.32,14.66,22.4,28.0,,-15.5,-30.96,,0.46,0.37,
招商白酒,530001,CNY,股票类,行业主题型,R4,30.88,20.06,20.0,17.55,24.05,21.0,-10.0,-36.06,,0.49,0.55,0.35
银华量化优选B,520008,CNY,股票类,股票增强型,R5,29.79,15.6,15.06,19.6,22.13,,-23.31,-29.27,-29.24,0.5,1.0,0.49
中欧医疗健康B,530006,CNY,股票类,行业主题型,R5,27.94,7.15,8.06,12.0,20.06,22.47,-13.11,-29.44,-20.97,0.35,0.35,0.62
富国沪深300,510006,CNY,股票类,股票型,R4,27.53,17.22,10.08,22.63,26.38,20.4,-12.72,-45.0,-27.42,0.72,0.6,0.64
天弘新能源B,530008,CNY,股票类,行业主题型,R5,27.16,10.82,14.39,18.61,18.22,20.21,-28.97,-34.15,-43.58,1.19,0.66,
国泰量化增强,520002,CNY,股票类,股票增强型,R4,26.49,9.8,11.25,18.86,18.71,25.35,-19.97,-39.46,-26.66,1.2,0.83,0.42
国泰量化增强B,520007,CNY,股票类,股票增强型,R5,25.6,18.4,12.42,21.53,25.47,18.87,-19.08,-31.52,-35.74,0.97,0.79,0.74
