product_name,product_code,currency,asset_class,sub_category,risk_level,return_1y,return_3y,return_5y,volatility_1y,volatility_3y,volatility_5y,max_drawdown_1y,max_drawdown_2y,max_drawdown_3y,sharpe_ratio_1y,sharpe_ratio_3y,sharpe_ratio_5y
招商白酒,530001,CNY,股票类,行业主题型,R4,30.88,20.06,20.0,17.55,24.05,21.0,-10.0,-36.06,,0.49,0.55,0.35
国泰量化增强B,520007,CNY,股票类,股票增强型,R5,25.6,18.4,12.42,21.53,25.47,18.87,-19.08,-31.52,-35.74,0.97,0.79,0.74
富国量化多因子B,540004,CNY,股票类,量化多因子,R3,20.14,23.46,13.73,20.01,23.9,15.0,-21.03,-24.22,,0.33,0.85,0.67
景顺长城量化精选C,520010,CNY,股票类,股票增强型,R5,17.59,17.46,10.39,17.3,21.85,21.17,-25.67,-33.53,-32.14,0.34,0.4,0.53
银华量化优选,520003,CNY,股票类,股票增强型,R4,16.37,21.52,9.85,23.0,23.71,17.95,-22.87,-45.0,-42.2,0.64,0.43,0.85
兴全量化精选B,520009,CNY,股票类,股票增强型,R5,10.89,21.0,15.47,23.81,23.2,20.47,-28.11,-29.43,-39.42,0.94,0.62,0.51
易方达短债C,010010,CNY,现金类,短债型,R2,4.5,2.91,,0.64,0.82,1.27,-1.32,-2.1,-2.48,1.89,2.14,2.39
南方现金增利D,000017,CNY,现金类,货币基金,R1,3.93,2.91,3.04,1.85,1.01,1.5,-0.72,-2.82,-1.25,2.39,2.55,2.1
南方短债B,010007,CNY,现金类,短债型,R1,3.55,2.75,2.93,1.26,0.2,0.55,-0.6,-2.44,-1.71,1.74,2.26,1.89
工银纯债C,020011,CNY,现金类,纯债型,R2,3.15,2.49,2.31,0.69,0.88,0.59,-1.35,-2.55,-2.08,1.69,2.37,1.92
招商安瑞进取B,020005,CNY,现金类,纯债型,R1,2.9,2.36,3.4,0.94,0.0,1.07,-1.27,-1.57,-1.67,2.32,2.35,1.77
招财宝B,000007,CNY,现金类,现金类-其他,R1,2.79,3.51,3.78,0.39,1.12,0.58,-1.05,0.0,-3.5,2.35,2.26,2.23
理财通B,000006,CNY,现金类,现金类-其他,R1,2.59,2.47,2.62,0.92,0.69,0.01,-0.63,-2.3,-1.76,3.0,1.78,1.3
天弘余额宝B,000005,CNY,现金类,货币基金,R1,2.02,2.31,2.76,0.7,0.82,0.77,,-1.1,-2.07,2.43,2.12,1.31
兴全可转债,120000,CNY,固收+,可转债型,R4,9.59,12.0,,6.62,10.6,7.75,-10.95,-14.31,-17.02,1.11,1.04,0.78
国泰黄金ETF,510001,CNY,另类,商品型,R5,3.02,12.79,5.46,10.71,10.86,14.59,-25.0,-8.0,-15.9,0.86,0.74,0.76
博时信用债D,110014,CNY,固收+,偏债混合型,R3,10.72,10.8,8.39,8.12,7.03,8.37,-7.82,-9.14,-12.48,1.26,0.86,1.09
明汯中性优选B,890005,CNY,另类,市场中性,R3,9.57,12.84,8.75,9.11,13.18,12.62,-9.3,-10.31,-28.84,0.6,0.53,0.69
招商安泰债券,130001,CNY,固收+,二级债基,R3,8.27,9.93,8.78,5.54,8.9,8.38,-9.89,-7.34,-16.21,1.03,0.92,0.88
淡水泉多策略B,900005,CNY,另类,多策略对冲,R3,16.95,13.26,6.15,6.47,15.27,,-18.42,-14.65,-34.81,1.02,0.54,0.83
嘉实沪深300B,510011,CNY,股票类,股票型,R4,13.18,22.16,7.24,23.64,28.0,17.78,-26.04,-29.25,-38.03,0.31,0.66,0.48
易方达稳健收益D,100015,CNY,固收+,固收增强型,R2,7.68,10.89,7.29,10.06,5.77,7.83,-6.33,-12.19,-10.44,0.87,1.2,1.2
灵均CTA策略B,880006,CNY,另类,CTA策略,R3,8.96,13.36,8.24,14.05,14.21,8.94,-9.8,-19.42,-18.31,0.53,0.48,
汇添富中证800B,510015,CNY,股票类,股票型,R4,34.23,14.33,,17.61,17.89,18.26,-22.98,-27.44,-31.79,0.91,0.65,0.82
华宝科技龙头B,530010,CNY,股票类,行业主题型,R5,32.34,14.32,14.66,22.4,28.0,,-15.5,-30.96,,0.46,0.37,
中欧医疗健康C,530012,CNY,股票类,行业主题型,R4,31.42,18.06,,16.33,20.33,,-27.97,-40.37,,0.93,0.98,0.43
银华量化优选B,520008,CNY,股票类,股票增强型,R5,29.79,15.6,15.06,19.6,22.13,,-23.31,-29.27,-29.24,0.5,1.0,0.49
中欧医疗健康B,530006,CNY,股票类,行业主题型,R5,27.94,7.15,8.06,12.0,20.06,22.47,-13.11,-29.44,-20.97,0.35,0.35,0.62
富国沪深300,510006,CNY,股票类,股票型,R4,27.53,17.22,10.08,22.63,26.38,20.4,-12.72,-45.0,-27.42,0.72,0.6,0.64
天弘新能源B,530008,CNY,股票类,行业主题型,R5,27.16,10.82,14.39,18.61,18.22,20.21,-28.97,-34.15,-43.58,1.19,0.66,
国泰量化增强,520002,CNY,股票类,股票增强型,R4,26.49,9.8,11.25,18.86,18.71,25.35,-19.97,-39.46,-26.66,1.2,0.83,0.42
