product_name,product_code,currency,asset_class,sub_category,risk_level,return_1y,return_3y,return_5y,volatility_1y,volatility_3y,volatility_5y,max_drawdown_1y,max_drawdown_2y,max_drawdown_3y,sharpe_ratio_1y,sharpe_ratio_3y,sharpe_ratio_5y,pct_return_3y,pct_sharpe_3y,pct_volatility_3y,bucket_id,bucket_pct_return,bucket_pct_sharpe,bucket_pct_volatility,is_top_alpha
华夏沪深300ETF,510000,CNY,股票类,股票型,R5,23.73,14.84,14.93,27.85,20.18,19.86,-12.63,-24.24,-37.76,0.84,0.57,0.56,0.5833333333333334,0.16666666666666666,0.5833333333333334,1,0.8888888888888888,0.1111111111111111,0.8148148148148148,False
易方达中证500C,510017,CNY,股票类,股票型,R3,16.65,19.57,13.3,15.39,21.61,21.56,-28.02,-28.85,-33.53,0.41,0.71,,0.8333333333333334,0.6666666666666666,0.6666666666666666,1,0.9629629629629629,0.2962962962962963,0.8518518518518519,False
天弘新能源C,530014,CNY,股票类,行业主题型,R4,15.67,19.09,,23.25,17.58,20.77,-17.8,-42.52,-29.65,0.53,0.75,0.52,0.8,0.8666666666666667,0.13333333333333333,1,0.9259259259259259,0.3888888888888889,0.6296296296296297,False
嘉实沪深300B,510011,CNY,股票类,股票型,R4,13.18,22.16,7.24,23.64,28.0,17.78,-26.04,-29.25,-38.03,0.31,0.66,0.48,0.9166666666666666,0.5,1.0,1,1.0,0.2222222222222222,1.0,False
华宝科技龙头,530004,CNY,股票类,行业主题型,R5,11.99,14.82,12.95,,22.8,22.46,-29.53,-41.51,-23.78,0.78,0.52,0.84,0.5333333333333333,0.4,0.5333333333333333,1,0.8518518518518519,0.07407407407407407,0.9629629629629629,False
汇添富中证800,510007,CNY,股票类,股票型,R5,5.09,14.46,13.84,27.65,19.19,18.28,-25.64,-23.13,-31.37,0.57,0.74,0.64,0.5,0.75,0.4166666666666667,1,0.8148148148148148,0.3333333333333333,0.7777777777777778,False
广发安泽短债,010001,CNY,现金类,短债型,R1,4.16,4.0,3.8,1.6,1.36,0.97,-0.61,-1.91,-2.82,2.25,2.04,1.76,1.0,0.4166666666666667,1.0,1,0.2962962962962963,0.8148148148148148,0.25925925925925924,False
广发安泽短债D,010013,CNY,现金类,短债型,R1,3.36,2.43,,,0.61,1.14,-1.17,-1.8,-2.96,2.41,2.8,1.58,0.16666666666666666,1.0,0.4166666666666667,1,0.07407407407407407,1.0,0.07407407407407407,False
易方达短债D,010014,CNY,现金类,短债型,R1,3.02,3.68,2.86,1.23,0.42,0.91,-1.09,-0.76,-0.81,3.0,2.3,2.0,0.8333333333333334,0.8333333333333334,0.25,1,0.25925925925925924,0.8888888888888888,0.037037037037037035,False
易方达纯债B,020007,CNY,现金类,纯债型,R1,2.83,2.71,2.89,0.85,1.26,,-1.81,-2.29,-3.07,2.61,2.7,1.87,0.5769230769230769,1.0,0.8461538461538461,1,0.18518518518518517,0.9629629629629629,0.2222222222222222,False
理财通,000002,CNY,现金类,现金类-其他,R1,2.69,2.29,2.8,0.85,1.25,1.24,-0.3,-1.92,-2.21,1.62,1.82,2.19,0.2,0.4,0.8,1,0.037037037037037035,0.7777777777777778,0.18518518518518517,False
博时稳定纯债,020004,CNY,现金类,纯债型,R1,2.25,2.53,3.13,1.09,1.06,0.93,-0.68,-0.67,-1.59,2.16,2.34,2.47,0.38461538461538464,0.38461538461538464,0.6923076923076923,1,0.14814814814814814,0.9259259259259259,0.14814814814814814,False
招商安瑞进取D,020015,CNY,现金类,纯债型,R2,1.5,2.5,2.8,0.51,0.84,,-0.96,-1.67,-2.65,2.31,2.25,,0.3076923076923077,0.3076923076923077,0.46153846153846156,1,0.1111111111111111,0.8518518518518519,0.1111111111111111,False
兴全可转债,120000,CNY,固收+,可转债型,R4,9.59,12.0,,6.62,10.6,7.75,-10.95,-14.31,-17.02,1.11,1.04,0.78,0.9444444444444444,0.6666666666666666,0.8888888888888888,1,,,,False
国泰黄金ETF,510001,CNY,另类,商品型,R5,3.02,12.79,5.46,10.71,10.86,14.59,-25.0,-8.0,-15.9,0.86,0.74,0.76,1.0,0.75,0.5,1,,,,False
