product_name,product_code,currency,asset_class,sub_category,risk_level,return_1y,return_3y,return_5y,volatility_1y,volatility_3y,volatility_5y,max_drawdown_1y,max_drawdown_2y,max_drawdown_3y,sharpe_ratio_1y,sharpe_ratio_3y,sharpe_ratio_5y,pct_return_3y,pct_sharpe_3y,pct_volatility_3y,bucket_id,bucket_pct_return,bucket_pct_sharpe,bucket_pct_volatility,is_top_alpha
中欧医疗健康C,530012,CNY,股票类,行业主题型,R4,31.42,18.06,,16.33,20.33,,-27.97,-40.37,,0.93,0.98,0.43,0.7333333333333333,1.0,0.4666666666666667,2,0.9615384615384616,0.5192307692307693,0.9230769230769231,True
长信量化先锋B,540006,CNY,股票类,量化多因子,R3,23.59,17.08,16.39,18.7,20.06,17.81,-25.28,-27.17,-27.94,0.47,0.8,0.81,0.42857142857142855,0.7142857142857143,0.42857142857142855,2,0.9230769230769231,0.2692307692307692,0.8846153846153846,False
易方达消费精选,530005,CNY,股票类,行业主题型,R4,20.87,21.1,,21.3,28.0,25.33,-24.06,-22.71,-28.84,1.04,0.48,0.72,0.9333333333333333,0.3333333333333333,0.9666666666666667,2,1.0,0.038461538461538464,1.0,False
高毅多策略,900000,CNY,另类,多策略对冲,R3,13.1,11.96,7.33,11.88,12.92,9.62,-5.0,-27.84,-21.35,1.3,0.75,0.7,0.8,0.6,0.2,2,0.8076923076923077,0.23076923076923078,0.7307692307692307,False
九坤CTA优选B,880004,CNY,另类,CTA策略,R4,10.4,13.27,9.58,16.38,15.9,,-14.56,-17.91,-26.36,0.72,0.86,0.89,0.8,1.0,0.8,2,0.8846153846153846,0.34615384615384615,0.7692307692307693,False
易方达易理财C,000011,CNY,现金类,货币基金,R1,4.5,2.57,3.23,1.15,1.49,1.34,-0.98,-2.07,-1.54,2.0,2.8,,0.26666666666666666,1.0,0.8,2,0.038461538461538464,1.0,0.2692307692307692,False
工银纯债,020001,CNY,现金类,纯债型,R2,3.97,2.89,2.45,0.75,1.28,0.96,-1.12,-1.78,-2.39,1.9,2.67,,0.7692307692307693,0.8461538461538461,0.9230769230769231,2,0.15384615384615385,0.9230769230769231,0.19230769230769232,False
招商安瑞进取C,020010,CNY,现金类,纯债型,R2,3.56,2.94,2.18,0.88,0.52,1.5,-1.09,-1.41,-1.45,2.27,2.69,1.71,0.8846153846153846,0.9230769230769231,0.23076923076923078,2,0.19230769230769232,0.9615384615384616,0.038461538461538464,False
南方短债C,010011,CNY,现金类,短债型,R2,3.24,2.76,2.77,0.22,1.3,0.72,-1.09,0.0,-1.7,1.97,1.95,,0.4166666666666667,0.3333333333333333,0.8333333333333334,2,0.07692307692307693,0.8076923076923077,0.23076923076923078,False
国泰黄金ETF,510001,CNY,另类,商品型,R5,3.02,12.79,5.46,10.71,10.86,14.59,-25.0,-8.0,-15.9,0.86,0.74,0.76,1.0,0.75,0.5,2,0.8461538461538461,0.19230769230769232,0.6923076923076923,False
零钱通,000001,CNY,现金类,现金类-其他,R1,2.81,3.06,3.02,0.93,1.26,1.05,-1.87,-0.52,-3.66,2.64,2.49,1.57,0.8,0.8,1.0,2,0.2692307692307692,0.8461538461538461,0.15384615384615385,False
余额宝B,000004,CNY,现金类,现金类-其他,R1,2.67,2.84,2.86,0.81,0.78,1.35,-0.72,-1.72,-1.3,2.12,2.51,2.01,0.6,1.0,0.4,2,0.11538461538461539,0.8846153846153846,0.07692307692307693,False
嘉实超短债B,010004,CNY,现金类,短债型,R2,2.16,2.98,2.1,1.16,0.83,0.58,-1.8,-1.11,-2.53,1.81,1.4,1.89,0.6666666666666666,0.125,0.6666666666666666,2,0.23076923076923078,0.7692307692307693,0.11538461538461539,False
兴全可转债,120000,CNY,固收+,可转债型,R4,9.59,12.0,,6.62,10.6,7.75,-10.95,-14.31,-17.02,1.11,1.04,0.78,0.9444444444444444,0.6666666666666666,0.8888888888888888,2,,,,False
明汯中性优选B,890005,CNY,另类,市场中性,R3,9.57,12.84,8.75,9.11,13.18,12.62,-9.3,-10.31,-28.84,0.6,0.53,0.69,1.0,0.16666666666666666,0.5,2,,,,False
博时信用债D,110014,CNY,固收+,偏债混合型,R3,10.72,10.8,8.39,8.12,7.03,8.37,-7.82,-9.14,-12.48,1.26,0.86,1.09,1.0,0.46153846153846156,0.38461538461538464,2,,,,False
招商安泰债券,130001,CNY,固收+,二级债基,R3,8.27,9.93,8.78,5.54,8.9,8.38,-9.89,-7.34,-16.21,1.03,0.92,0.88,1.0,0.55,0.8,2,,,,False
嘉实沪深300B,510011,CNY,股票类,股票型,R4,13.18,22.16,7.24,23.64,28.0,17.78,-26.04,-29.25,-38.03,0.31,0.66,0.48,0.9166666666666666,0.5,1.0,2,,,,False
银华量化优选,520003,CNY,股票类,股票增强型,R4,16.37,21.52,9.85,23.0,23.71,17.95,-22.87,-45.0,-42.2,0.64,0.43,0.85,1.0,0.25,0.75,2,,,,False
易方达稳健收益D,100015,CNY,固收+,固收增强型,R2,7.68,10.89,7.29,10.06,5.77,7.83,-6.33,-12.19,-10.44,0.87,1.2,1.2,1.0,1.0,0.06666666666666667,2,,,,False
汇添富中证800B,510015,CNY,股票类,股票型,R4,34.23,14.33,,17.61,17.89,18.26,-22.98,-27.44,-31.79,0.91,0.65,0.82,,,,2,,,,True
华宝科技龙头B,530010,CNY,股票类,行业主题型,R5,32.34,14.32,14.66,22.4,28.0,,-15.5,-30.96,,0.46,0.37,,,,,2,,,,True
